Token	POS-Tag	OOV	Id	Index	Documento
A	DET	0	1	0	A Biblioteconomia utiliza sistemas de classificação como CDD e CDU para organizar o conhecimento humano .
Biblioteconomia	NOUN	1	1	1	A Biblioteconomia utiliza sistemas de classificação como CDD e CDU para organizar o conhecimento humano .
utiliza	VERB	0	1	2	A Biblioteconomia utiliza sistemas de classificação como CDD e CDU para organizar o conhecimento humano .
sistemas	NOUN	0	1	3	A Biblioteconomia utiliza sistemas de classificação como CDD e CDU para organizar o conhecimento humano .
de	ADP	0	1	4	A Biblioteconomia utiliza sistemas de classificação como CDD e CDU para organizar o conhecimento humano .
classificação	NOUN	0	1	5	A Biblioteconomia utiliza sistemas de classificação como CDD e CDU para organizar o conhecimento humano .
como	ADP	0	1	6	A Biblioteconomia utiliza sistemas de classificação como CDD e CDU para organizar o conhecimento humano .
CDD	PROPN	1	1	7	A Biblioteconomia utiliza sistemas de classificação como CDD e CDU para organizar o conhecimento humano .
e	CCONJ	0	1	8	A Biblioteconomia utiliza sistemas de classificação como CDD e CDU para organizar o conhecimento humano .
CDU	PROPN	1	1	9	A Biblioteconomia utiliza sistemas de classificação como CDD e CDU para organizar o conhecimento humano .
para	SCONJ	0	1	10	A Biblioteconomia utiliza sistemas de classificação como CDD e CDU para organizar o conhecimento humano .
organizar	VERB	0	1	11	A Biblioteconomia utiliza sistemas de classificação como CDD e CDU para organizar o conhecimento humano .
o	DET	0	1	12	A Biblioteconomia utiliza sistemas de classificação como CDD e CDU para organizar o conhecimento humano .
conhecimento	NOUN	0	1	13	A Biblioteconomia utiliza sistemas de classificação como CDD e CDU para organizar o conhecimento humano .
humano	ADJ	0	1	14	A Biblioteconomia utiliza sistemas de classificação como CDD e CDU para organizar o conhecimento humano .
.	PUNCT	0	1	15	A Biblioteconomia utiliza sistemas de classificação como CDD e CDU para organizar o conhecimento humano .
O	DET	0	2	0	O bibliotecário atua como mediador essencial entre a informação registrada e o usuário final .
bibliotecário	NOUN	1	2	1	O bibliotecário atua como mediador essencial entre a informação registrada e o usuário final .
atua	VERB	0	2	2	O bibliotecário atua como mediador essencial entre a informação registrada e o usuário final .
como	ADP	0	2	3	O bibliotecário atua como mediador essencial entre a informação registrada e o usuário final .
mediador	NOUN	1	2	4	O bibliotecário atua como mediador essencial entre a informação registrada e o usuário final .
essencial	ADJ	0	2	5	O bibliotecário atua como mediador essencial entre a informação registrada e o usuário final .
entre	ADP	0	2	6	O bibliotecário atua como mediador essencial entre a informação registrada e o usuário final .
a	DET	0	2	7	O bibliotecário atua como mediador essencial entre a informação registrada e o usuário final .
informação	NOUN	0	2	8	O bibliotecário atua como mediador essencial entre a informação registrada e o usuário final .
registrada	VERB	0	2	9	O bibliotecário atua como mediador essencial entre a informação registrada e o usuário final .
e	CCONJ	0	2	10	O bibliotecário atua como mediador essencial entre a informação registrada e o usuário final .
o	DET	0	2	11	O bibliotecário atua como mediador essencial entre a informação registrada e o usuário final .
usuário	NOUN	0	2	12	O bibliotecário atua como mediador essencial entre a informação registrada e o usuário final .
final	ADJ	0	2	13	O bibliotecário atua como mediador essencial entre a informação registrada e o usuário final .
.	PUNCT	0	2	14	O bibliotecário atua como mediador essencial entre a informação registrada e o usuário final .
A	DET	0	3	0	A preservação digital é um desafio contemporâneo para as bibliotecas universitárias e centros de documentação .
preservação	NOUN	0	3	1	A preservação digital é um desafio contemporâneo para as bibliotecas universitárias e centros de documentação .
digital	ADJ	0	3	2	A preservação digital é um desafio contemporâneo para as bibliotecas universitárias e centros de documentação .
é	AUX	0	3	3	A preservação digital é um desafio contemporâneo para as bibliotecas universitárias e centros de documentação .
um	DET	0	3	4	A preservação digital é um desafio contemporâneo para as bibliotecas universitárias e centros de documentação .
desafio	NOUN	0	3	5	A preservação digital é um desafio contemporâneo para as bibliotecas universitárias e centros de documentação .
contemporâneo	ADJ	0	3	6	A preservação digital é um desafio contemporâneo para as bibliotecas universitárias e centros de documentação .
para	ADP	0	3	7	A preservação digital é um desafio contemporâneo para as bibliotecas universitárias e centros de documentação .
as	DET	0	3	8	A preservação digital é um desafio contemporâneo para as bibliotecas universitárias e centros de documentação .
bibliotecas	NOUN	0	3	9	A preservação digital é um desafio contemporâneo para as bibliotecas universitárias e centros de documentação .
universitárias	ADJ	1	3	10	A preservação digital é um desafio contemporâneo para as bibliotecas universitárias e centros de documentação .
e	CCONJ	0	3	11	A preservação digital é um desafio contemporâneo para as bibliotecas universitárias e centros de documentação .
centros	NOUN	0	3	12	A preservação digital é um desafio contemporâneo para as bibliotecas universitárias e centros de documentação .
de	ADP	0	3	13	A preservação digital é um desafio contemporâneo para as bibliotecas universitárias e centros de documentação .
documentação	NOUN	0	3	14	A preservação digital é um desafio contemporâneo para as bibliotecas universitárias e centros de documentação .
.	PUNCT	0	3	15	A preservação digital é um desafio contemporâneo para as bibliotecas universitárias e centros de documentação .
O	DET	0	4	0	O Repositório Institucional da USP armazena e dissemina a produção científica de seus pesquisadores .
Repositório	PROPN	1	4	1	O Repositório Institucional da USP armazena e dissemina a produção científica de seus pesquisadores .
Institucional	PROPN	1	4	2	O Repositório Institucional da USP armazena e dissemina a produção científica de seus pesquisadores .
da	ADP	0	4	3	O Repositório Institucional da USP armazena e dissemina a produção científica de seus pesquisadores .
USP	PROPN	0	4	4	O Repositório Institucional da USP armazena e dissemina a produção científica de seus pesquisadores .
armazena	VERB	1	4	5	O Repositório Institucional da USP armazena e dissemina a produção científica de seus pesquisadores .
e	CCONJ	0	4	6	O Repositório Institucional da USP armazena e dissemina a produção científica de seus pesquisadores .
dissemina	VERB	1	4	7	O Repositório Institucional da USP armazena e dissemina a produção científica de seus pesquisadores .
a	DET	0	4	8	O Repositório Institucional da USP armazena e dissemina a produção científica de seus pesquisadores .
produção	NOUN	0	4	9	O Repositório Institucional da USP armazena e dissemina a produção científica de seus pesquisadores .
científica	ADJ	0	4	10	O Repositório Institucional da USP armazena e dissemina a produção científica de seus pesquisadores .
de	ADP	0	4	11	O Repositório Institucional da USP armazena e dissemina a produção científica de seus pesquisadores .
seus	DET	0	4	12	O Repositório Institucional da USP armazena e dissemina a produção científica de seus pesquisadores .
pesquisadores	NOUN	0	4	13	O Repositório Institucional da USP armazena e dissemina a produção científica de seus pesquisadores .
.	PUNCT	0	4	14	O Repositório Institucional da USP armazena e dissemina a produção científica de seus pesquisadores .
A	DET	0	5	0	A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos .
gestão	NOUN	0	5	1	A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos .
de	ADP	0	5	2	A gestão de coleções exige critérios técnicos rigorosos para o descarte e a aquisição de novos títulos .
